en-unannotated-00001	Unsure.
en-unannotated-00002	The Survey Co occupies a narrow space in Burnett Lane as a mark to Brisbane's growing obsessions in redeveloping laneways a la Melbourne.
en-unannotated-00003	We all ordered classic burgers with bacon.
en-unannotated-00004	The atmosphere is superb.
en-unannotated-00005	I had the swordfish and it wss exceptional.
en-unannotated-00006	But they made room for us two after our tour.
en-unannotated-00007	We had the ceviche sampler.
en-unannotated-00008	Lovely coffee great service from friendly owners.
en-unannotated-00009	Always Be True to the Cuisine - Chef Dom D'Maestro
en-unannotated-00010	The prices were also not bad for the quality of the meal and the service ($25-30).
en-unannotated-00011	We had the most wonderful range of canapes and one guest who has coeliac issues was very well looked after.
en-unannotated-00012	Recommened this to everyone :)
en-unannotated-00013	Stayed at this hotel for one night with my husband and three year old daughter.
en-unannotated-00014	We stayed in nearby hotel and thought the menu looked unique and mostly affordable.
en-unannotated-00015	I took a few bites and left it.
en-unannotated-00016	For reference, it's listed as the Oeuf Cocotte aun epinards et creme de muscade.
en-unannotated-00017	The vegetarian cuisine was delicious (even my meat eating husband was happy!
en-unannotated-00018	For a mains course we decided on the Miso Barramundi with Japanese Mushrooms and Seaweed Salad as accompanying dishes.
en-unannotated-00019	My friend and I loved it.
en-unannotated-00020	we will look elsewhere to spend our calories.
en-unannotated-00021	Well make a reservation and try to avoid the busy hours.
en-unannotated-00022	We decided to go to The Box for drinks after reading really good reviews on TripAdvisor and in guidebooks we had purchased.
en-unannotated-00023	My first course--a chili, red pepper, prawn risotto--was out of this world.
en-unannotated-00024	On arrival was rudely ignored (it was not busy in the shop). The cakes I ordered where very small for the price.
en-unannotated-00025	We had a business meeting.
en-unannotated-00026	The Gaelic boxty was super yummy!
en-unannotated-00027	The food was not good, the refrigerator is hidden in a closet on a high shelf so for 2 days we couldn't find it, no coffee maker, microwave, no iron they will iron your clothes through a service for a fee.
en-unannotated-00028	Good free wifi access everywhere.
en-unannotated-00029	I'll be back!
en-unannotated-00030	I've been to Jellyfish several times.
en-unannotated-00031	Wifi signal was very weak in the room so that we had to come out to lobby to use Internet.
en-unannotated-00032	Yes, the chocolate fondant was worth it.
en-unannotated-00033	All of were very yummy!
en-unannotated-00034	The bathroom was completely remodeled and the shower was excellent.
en-unannotated-00035	Hailo was vastly superior.
en-unannotated-00036	This is how we entered the restaurant.
en-unannotated-00037	Call in advance or walk in the day and make a reservation.
en-unannotated-00038	Stayed 3 nights for a business trip with colleagues.
en-unannotated-00039	Good app
en-unannotated-00040	The BYOB (Build Your Own Burger) menu is perfect for the fussy eater like myself.
en-unannotated-00041	We enjoyed it so much we went twice!
en-unannotated-00042	magnificent...
en-unannotated-00043	Some room are still under internal renovation and not in good condition still sell to customer.
en-unannotated-00044	Also I could "preview" the available cabs around which i noticed I can't with this app.
en-unannotated-00045	Sort it out, it's wasting my phone storage, cos it doesn't work.
en-unannotated-00046	Yes, that was the end of the dinner while we watched plates and plates go by.
en-unannotated-00047	Our server was excellent in translating the menu for us and making her best recommendations.
en-unannotated-00048	FROM BREAKFAST TO BED.
en-unannotated-00049	As someone in this review-section pointed out, we sought a place to give our tourist-stomach a go.
en-unannotated-00050	Great staff!!
en-unannotated-00051	An all star meal without the pomp and circumstance.
en-unannotated-00052	My friend ordered an Irish Boxty and a drink which she said were both very good.
en-unannotated-00053	The buffet breakfast was fine, but a more extensively selection would be a nice improvement.
en-unannotated-00054	My husband and I got to Den Noc at about 11.30am which was the right timing as there were free seats.
en-unannotated-00055	The "cheesecake" looked & tasted like some sort of tuna dish I'd feed to my cat.
en-unannotated-00056	Very cool rooms and great location.
en-unannotated-00057	Incredibly "smart" photo app.
en-unannotated-00058	They recommended the salmon and steak boxty, but my dad was surprisingly a little underwhelmed by the Guinness stew.
en-unannotated-00059	Try the tamales, it looks different, but it is delicious!!!!
en-unannotated-00060	Suggested by our nearby hotel we should eat here for "fine dining". The restaurant is beautifully sited with views of nearby islands & the gulf of Ajaccio so one can watch the sunset..
en-unannotated-00061	I actually stayed here during a business trip in October 2015.
en-unannotated-00062	Well, this is so I really recommend the place.
en-unannotated-00063	We ate breakfast at the place next door and then we noticed these amazing burgers at naso.
en-unannotated-00064	The service was nice, the place itself was lovely...
en-unannotated-00065	Friendly.
en-unannotated-00066	Despite that, facilities impress and good restaurant service
en-unannotated-00067	We highly recommend this...
en-unannotated-00068	They take pride in serving their ancient beer and food in a way that warms my heart to have shared this experience with others.
en-unannotated-00069	I have just finished the second of my three week stay, on business, here at the Hilton and it is a wonderful hotel.
en-unannotated-00070	The food and service were both phenomenal!
en-unannotated-00071	You don't have to go the extra mile to keep the costumer, you have everything else working well for you.
en-unannotated-00072	I am a stickler for detail and service.
en-unannotated-00073	It was creamy and the crust was perfect.
en-unannotated-00074	Best coffee in Moscow according to my coffee snob husband from California :) Amazing homemade Italian pastries.
en-unannotated-00075	Super quaint restaurant decorated to make you feel as if you're eating at home.
en-unannotated-00076	Service was genuine and prompt.
en-unannotated-00077	and the food more than excellent..
en-unannotated-00078	The hotel is very nice, modern, clean.
en-unannotated-00079	I personally ordered the fish and chips and could not have been happier.
en-unannotated-00080	10k in length just to die and start over.
en-unannotated-00081	Lacked flavor and the outside was tough due to searing before
en-unannotated-00082	This may be my own ignorance, but the dish, as tasty and flavoursome as it was, came with a bit of a surprise and slight confusion as the menu didn't exactly describe what being was seen and tasting.
en-unannotated-00083	Unusual but effective and imaginative conversion of a 1600s building.
en-unannotated-00084	The staff were eager to make our stay perfect.
en-unannotated-00085	Leave room for their delicious baked goods...
en-unannotated-00086	As a starter, i had the tomato and mozzarella salad, which was delicious.
en-unannotated-00087	I started with the roasted red pepper tomato basil soup.
en-unannotated-00088	And very friendly!
en-unannotated-00089	Only downside is the lack of seating, it's always packed and you can barely fit, that's if you're lucky enough to get a seat!
en-unannotated-00090	Simple, not much of challenge.
en-unannotated-00091	Of course; they are 800 years old, so they are doing a lot of things right!
en-unannotated-00092	You get what you pay for.
en-unannotated-00093	Having said this, the location and the spaciousness of the apartment made up for it's worn look
en-unannotated-00094	One with children and one which is grilled cheese
en-unannotated-00095	If I had the money, I could very well get used to eating here.
en-unannotated-00096	Nice location, fantastic breakfast and very comfortable large room.
en-unannotated-00097	Went here expecting something great and maybe that was my downfall.
en-unannotated-00098	Very good for revving up your appetite.
en-unannotated-00099	This cosy little Ballsbridge gem is about as good as it gets.
en-unannotated-00100	My friend had the eggplant and olive risotto and enjoyed it as well.
en-unannotated-00101	Price is seriously cheap.
en-unannotated-00102	Almost national Russian food - vareniks: the dough with different filling!
en-unannotated-00103	The atmosphere is pretty classy; white cloth and waiter service with a candle, dimly lit but still good to come for lunch.
en-unannotated-00104	Greeted by a motorised sliding metal gate which opens to reveal the long, narrow dining hall, there is a certain secret hidden hideout vibe to the restaurant.
en-unannotated-00105	Mains were of high quality too, and we polished up every bit of the food, including (especially!
en-unannotated-00106	below the specific item you're looking at.
en-unannotated-00107	Very touristy place because it is recommended by a nearby hotel.
en-unannotated-00108	This was our first meal of our first visit to Prague.
en-unannotated-00109	My only gripe was that the dish felt like potato over kill because pretty much all the sides were potatoes and I was hoping for more variety.
en-unannotated-00110	Central and within walking distance of the old town where you can enjoy one of the many great tapas restaurants.
en-unannotated-00111	Beds are comfortable with clean, crisp sheets.
en-unannotated-00112	The decor was really cute as well.
en-unannotated-00113	and the food is amazing (!) but it is also is very very heavy (probably because of its authenticity). An amazing experience.
en-unannotated-00114	Alle fresh and a couple of Seats outside.
en-unannotated-00115	Factor in the river view, deduct the waitress who needed a personality transplant, add the fact they served at 3pm and the answer is yes, due to great food!
en-unannotated-00116	Nice and quite atmosphere.
en-unannotated-00117	(It wasn't until two days later when we escaped Prague for the countryside that we realized how bad the Goulash at Lokal actually was.)
en-unannotated-00118	We stayed in this hotel for four nights after a very long trip from Sydney.
en-unannotated-00119	Then I had the caprese salad, which had really flavorful tomatoes and fresh mozzarella!
en-unannotated-00120	A lot of people would rely on this now, I personally met a lot of good people on here and made very meaningful memories with them.
en-unannotated-00121	Friendly service, amazing decor and a live pianist to boot.
